Sentence,Emotion
My brother was afraid of failing today.,Fear
My sister was stunned today.,Surprise
The student received good news today.,Joy
The teacher completed a project today.,Joy
My sister felt heartbroken today.,Sadness
The student enjoyed time with family today.,Love
The student lost patience today.,Anger
The employee felt loved today.,Love
The teacher expressed affection today.,Love
The employee found an unexpected opportunity today.,Surprise
I felt nervous about the exam today.,Fear
The employee felt nervous about the exam today.,Fear
My friend had a wonderful day today.,Joy
My brother felt uncertain today.,Fear
The teacher showed kindness today.,Love
My brother enjoyed time with family today.,Love
The employee became very angry today.,Anger
Our team felt frustrated today.,Anger
My sister feared the outcome today.,Fear
Our team felt grateful for loved ones today.,Love
I appreciated the support today.,Love
My friend checked the schedule today.,Neutral
Our team found an unexpected opportunity today.,Surprise
Our team finished the task today.,Neutral
My brother received bad news today.,Sadness
My sister reviewed the information today.,Neutral
My sister feared the outcome today.,Fear
My sister achieved a goal today.,Joy
The teacher valued a friendship today.,Love
Our team reviewed the information today.,Neutral
My brother worried about the future today.,Fear
Our team worried about the interview today.,Fear
My sister was amazed by the result today.,Surprise
The student experienced a surprise today.,Surprise
Our team became very angry today.,Anger
The employee felt anxious today.,Fear
I felt grateful for loved ones today.,Love
My sister hated the situation today.,Anger
The employee missed a loved one today.,Sadness
The teacher received bad news today.,Sadness
Our team cared deeply for someone today.,Love
The teacher was disappointed today.,Sadness
The student had a difficult day today.,Sadness
My brother reviewed the information today.,Neutral
I was scared of the result today.,Fear
The employee experienced a surprise today.,Surprise
My friend could not believe the outcome today.,Surprise
I received an unexpected gift today.,Surprise
My sister was upset by the decision today.,Anger
Our team received an unexpected gift today.,Surprise
The student saw something unbelievable today.,Surprise
The employee received an unexpected gift today.,Surprise
My friend was treated unfairly today.,Anger
Our team felt lonely today.,Sadness
My friend earned an award today.,Joy
My friend achieved a goal today.,Joy
Our team heard shocking news today.,Surprise
My friend felt loved today.,Love
My friend felt loved today.,Love
The employee felt left out today.,Sadness
The student felt lonely today.,Sadness
My sister felt grateful for loved ones today.,Love
I achieved a goal today.,Joy
My brother earned an award today.,Joy
My brother felt nervous about the exam today.,Fear
The employee felt grateful for loved ones today.,Love
The student found an unexpected opportunity today.,Surprise
The teacher finished the task today.,Neutral
Our team felt anxious today.,Fear
My sister was upset by the decision today.,Anger
I passed the exam today.,Joy
My friend felt heartbroken today.,Sadness
Our team appreciated the support today.,Love
The employee felt heartbroken today.,Sadness
My friend received good news today.,Joy
My sister found an unexpected opportunity today.,Surprise
The employee completed the assignment today.,Neutral
The employee felt grateful for loved ones today.,Love
The teacher received bad news today.,Sadness
I lost something important today.,Sadness
My friend feared the outcome today.,Fear
My brother received good news today.,Joy
The employee felt uncertain today.,Fear
My sister enjoyed time with family today.,Love
The teacher reviewed the information today.,Neutral
My sister was disappointed today.,Sadness
The student reviewed the information today.,Neutral
My sister missed a loved one today.,Sadness
I cared deeply for someone today.,Love
My sister attended the meeting today.,Neutral
Our team worried about the interview today.,Fear
I experienced a surprise today.,Surprise
My sister hated the situation today.,Anger
My friend enjoyed time with family today.,Love
My friend was disappointed today.,Sadness
My brother was disappointed today.,Sadness
I updated the document today.,Neutral
The teacher felt grateful for loved ones today.,Love
The student felt anxious today.,Fear
My friend received bad news today.,Sadness
Our team could not believe the outcome today.,Surprise
My sister argued about the issue today.,Anger
I felt anxious today.,Fear
I checked the schedule today.,Neutral
My sister worried about the future today.,Fear
The employee had a difficult day today.,Sadness
Our team feared the outcome today.,Fear
My friend felt anxious today.,Fear
The teacher felt nervous about the exam today.,Fear
The teacher lost something important today.,Sadness
Our team lost patience today.,Anger
The teacher felt left out today.,Sadness
The teacher felt lonely today.,Sadness
My sister became very angry today.,Anger
Our team found an unexpected opportunity today.,Surprise
I felt grateful for loved ones today.,Love
The student received good news today.,Joy
My brother became very angry today.,Anger
My friend showed kindness today.,Love
My friend worried about the interview today.,Fear
The teacher felt loved today.,Love
The employee was amazed by the result today.,Surprise
My sister valued a friendship today.,Love
My friend worried about the future today.,Fear
Our team received bad news today.,Sadness
My brother cared deeply for someone today.,Love
My friend missed a loved one today.,Sadness
The student felt frustrated today.,Anger
The teacher received an unexpected gift today.,Surprise
I completed a project today.,Joy
The employee felt nervous about the exam today.,Fear
The student lost something important today.,Sadness
The teacher lost something important today.,Sadness
My friend received bad news today.,Sadness
I lost patience today.,Anger
My sister hated the situation today.,Anger
Our team felt anxious today.,Fear
My friend received good news today.,Joy
My sister got promoted today.,Joy
My sister was amazed by the result today.,Surprise
Our team felt loved today.,Love
Our team submitted the report today.,Neutral
I felt uncertain today.,Fear
The teacher worried about the future today.,Fear
Our team felt loved today.,Love
My sister saw something unbelievable today.,Surprise
My sister felt anxious today.,Fear
Our team worried about the future today.,Fear
My friend felt left out today.,Sadness
The teacher won a competition today.,Joy
The teacher was disappointed today.,Sadness
Our team completed a project today.,Joy
The student received bad news today.,Sadness
The student became very angry today.,Anger
Our team lost patience today.,Anger
Our team lost something important today.,Sadness
The teacher lost patience today.,Anger
My sister worried about the interview today.,Fear
Our team argued about the issue today.,Anger
Our team had a wonderful day today.,Joy
My friend hated the situation today.,Anger
My sister received bad news today.,Sadness
The student was upset by the decision today.,Anger
My sister was treated unfairly today.,Anger
My sister was scared of the result today.,Fear
Our team enjoyed time with family today.,Love
My sister could not believe the outcome today.,Surprise
I appreciated the support today.,Love
The employee was upset by the decision today.,Anger
The employee became very angry today.,Anger
My friend expressed affection today.,Love
Our team valued a friendship today.,Love
My sister enjoyed time with family today.,Love
The student was treated unfairly today.,Anger
My friend heard shocking news today.,Surprise
The teacher could not believe the outcome today.,Surprise
My brother expressed affection today.,Love
My brother received bad news today.,Sadness
My brother expressed affection today.,Love
I valued a friendship today.,Love
The employee reviewed the information today.,Neutral
The student expressed affection today.,Love
My friend felt anxious today.,Fear
My friend won a competition today.,Joy
The student found an unexpected opportunity today.,Surprise
My friend checked the schedule today.,Neutral
The teacher was amazed by the result today.,Surprise
The teacher felt loved today.,Love
My friend argued about the issue today.,Anger
My brother finished the task today.,Neutral
The employee worried about the interview today.,Fear
My brother completed the assignment today.,Neutral
Our team worried about the interview today.,Fear
The employee heard shocking news today.,Surprise
I earned an award today.,Joy
The employee was upset by the decision today.,Anger
My friend earned an award today.,Joy
The employee argued about the issue today.,Anger
My sister became very angry today.,Anger
My brother worried about the future today.,Fear
My brother worried about the interview today.,Fear
The employee heard shocking news today.,Surprise
I became very angry today.,Anger
I earned an award today.,Joy
The teacher enjoyed time with family today.,Love
I experienced a surprise today.,Surprise
My friend went to college today.,Neutral
The student worried about the future today.,Fear
The teacher experienced a surprise today.,Surprise
The student received good news today.,Joy
Our team saw something unbelievable today.,Surprise
I hated the situation today.,Anger
My brother had a wonderful day today.,Joy
I felt uncertain today.,Fear
My friend completed the assignment today.,Neutral
The student updated the document today.,Neutral
The student finished the task today.,Neutral
The employee became very angry today.,Anger
The employee was stunned today.,Surprise
My brother saw something unbelievable today.,Surprise
My friend heard shocking news today.,Surprise
My sister showed kindness today.,Love
The teacher completed the assignment today.,Neutral
I felt loved today.,Love
My brother achieved a goal today.,Joy
Our team cared deeply for someone today.,Love
The student had a wonderful day today.,Joy
My friend felt frustrated today.,Anger
I completed the assignment today.,Neutral
I experienced a surprise today.,Surprise
I valued a friendship today.,Love
